time_sec,window_idx,pred_class,pred_label,confidence,gate_fired,command
0.0,0,3,FEET,1.0,False,
0.248,1,3,FEET,1.0,False,
0.496,2,3,FEET,1.0,False,
0.744,3,3,FEET,1.0,False,
0.992,4,3,FEET,1.0,True,FEET
1.24,5,3,FEET,1.0,False,
1.488,6,3,FEET,1.0,False,
1.736,7,2,RIGHT HAND,1.0,False,
1.984,8,2,RIGHT HAND,1.0,False,
2.232,9,2,RIGHT HAND,1.0,False,
2.48,10,3,FEET,1.0,False,
2.728,11,3,FEET,1.0,False,
2.976,12,3,FEET,1.0,False,
3.224,13,3,FEET,1.0,False,
3.472,14,3,FEET,1.0,True,FEET
3.72,15,3,FEET,1.0,False,
3.968,16,3,FEET,1.0,False,
4.216,17,3,FEET,1.0,False,
4.464,18,3,FEET,1.0,False,
4.712,19,3,FEET,1.0,False,
4.96,20,2,RIGHT HAND,1.0,False,
5.208,21,2,RIGHT HAND,1.0,False,
5.456,22,2,RIGHT HAND,1.0,False,
5.704,23,2,RIGHT HAND,1.0,False,
5.952,24,2,RIGHT HAND,1.0,True,RIGHT HAND
6.2,25,2,RIGHT HAND,1.0,False,
6.448,26,2,RIGHT HAND,1.0,False,
6.696,27,2,RIGHT HAND,1.0,False,
6.944,28,2,RIGHT HAND,1.0,False,
7.192,29,2,RIGHT HAND,1.0,False,
7.44,30,2,RIGHT HAND,1.0,False,
7.688,31,2,RIGHT HAND,1.0,False,
7.936,32,3,FEET,1.0,False,
8.184,33,3,FEET,1.0,False,
8.432,34,3,FEET,1.0,False,
8.68,35,3,FEET,1.0,False,
8.928,36,3,FEET,1.0,True,FEET
9.176,37,3,FEET,1.0,False,
9.424,38,2,RIGHT HAND,1.0,False,
9.672,39,2,RIGHT HAND,1.0,False,
9.92,40,2,RIGHT HAND,1.0,False,
10.168,41,2,RIGHT HAND,1.0,False,
10.416,42,2,RIGHT HAND,1.0,False,
10.664,43,2,RIGHT HAND,1.0,False,
10.912,44,2,RIGHT HAND,1.0,True,RIGHT HAND
11.16,45,2,RIGHT HAND,1.0,False,
11.408,46,2,RIGHT HAND,1.0,False,
11.656,47,2,RIGHT HAND,1.0,False,
11.904,48,2,RIGHT HAND,1.0,False,
12.152,49,2,RIGHT HAND,1.0,False,
12.4,50,2,RIGHT HAND,1.0,False,
12.648,51,2,RIGHT HAND,1.0,False,
12.896,52,2,RIGHT HAND,1.0,True,RIGHT HAND
13.144,53,2,RIGHT HAND,1.0,False,
13.392,54,2,RIGHT HAND,1.0,False,
13.64,55,2,RIGHT HAND,1.0,False,
13.888,56,2,RIGHT HAND,1.0,False,
14.136,57,2,RIGHT HAND,1.0,False,
14.384,58,2,RIGHT HAND,1.0,False,
14.632,59,2,RIGHT HAND,1.0,False,
14.88,60,2,RIGHT HAND,1.0,True,RIGHT HAND
15.128,61,2,RIGHT HAND,1.0,False,
15.376,62,2,RIGHT HAND,1.0,False,
15.624,63,2,RIGHT HAND,1.0,False,
15.872,64,2,RIGHT HAND,1.0,False,
16.12,65,2,RIGHT HAND,1.0,False,
16.368,66,2,RIGHT HAND,1.0,False,
16.616,67,2,RIGHT HAND,1.0,False,
16.864,68,2,RIGHT HAND,1.0,True,RIGHT HAND
17.112,69,2,RIGHT HAND,1.0,False,
17.36,70,2,RIGHT HAND,1.0,False,
17.608,71,2,RIGHT HAND,1.0,False,
17.856,72,2,RIGHT HAND,1.0,False,
18.104,73,2,RIGHT HAND,1.0,False,
18.352,74,2,RIGHT HAND,1.0,False,
18.6,75,2,RIGHT HAND,1.0,False,
18.848,76,2,RIGHT HAND,1.0,True,RIGHT HAND
19.096,77,2,RIGHT HAND,1.0,False,
19.344,78,2,RIGHT HAND,1.0,False,
19.592,79,2,RIGHT HAND,1.0,False,
19.84,80,2,RIGHT HAND,1.0,False,
20.088,81,2,RIGHT HAND,1.0,False,
20.336,82,2,RIGHT HAND,1.0,False,
20.584,83,2,RIGHT HAND,1.0,False,
20.832,84,2,RIGHT HAND,1.0,True,RIGHT HAND
21.08,85,2,RIGHT HAND,1.0,False,
21.328,86,2,RIGHT HAND,1.0,False,
21.576,87,2,RIGHT HAND,1.0,False,
21.824,88,2,RIGHT HAND,1.0,False,
22.072,89,2,RIGHT HAND,1.0,False,
22.32,90,2,RIGHT HAND,1.0,False,
22.568,91,2,RIGHT HAND,1.0,False,
22.816,92,2,RIGHT HAND,1.0,True,RIGHT HAND
23.064,93,2,RIGHT HAND,1.0,False,
23.312,94,2,RIGHT HAND,1.0,False,
23.56,95,2,RIGHT HAND,1.0,False,
23.808,96,2,RIGHT HAND,1.0,False,
24.056,97,2,RIGHT HAND,1.0,False,
24.304,98,2,RIGHT HAND,1.0,False,
24.552,99,2,RIGHT HAND,1.0,False,
24.8,100,2,RIGHT HAND,1.0,True,RIGHT HAND
25.048,101,2,RIGHT HAND,1.0,False,
25.296,102,2,RIGHT HAND,1.0,False,
25.544,103,2,RIGHT HAND,1.0,False,
25.792,104,2,RIGHT HAND,1.0,False,
26.04,105,2,RIGHT HAND,1.0,False,
26.288,106,2,RIGHT HAND,1.0,False,
26.536,107,2,RIGHT HAND,1.0,False,
26.784,108,2,RIGHT HAND,1.0,True,RIGHT HAND
27.032,109,2,RIGHT HAND,1.0,False,
27.28,110,3,FEET,1.0,False,
27.528,111,2,RIGHT HAND,1.0,False,
27.776,112,3,FEET,1.0,False,
28.024,113,2,RIGHT HAND,1.0,False,
28.272,114,2,RIGHT HAND,1.0,False,
28.52,115,2,RIGHT HAND,1.0,False,
28.768,116,2,RIGHT HAND,1.0,False,
29.016,117,2,RIGHT HAND,1.0,True,RIGHT HAND
29.264,118,2,RIGHT HAND,1.0,False,
29.512,119,2,RIGHT HAND,1.0,False,
29.76,120,2,RIGHT HAND,1.0,False,
30.008,121,2,RIGHT HAND,1.0,False,
30.256,122,2,RIGHT HAND,1.0,False,
30.504,123,2,RIGHT HAND,1.0,False,
30.752,124,2,RIGHT HAND,1.0,False,
31.0,125,2,RIGHT HAND,1.0,True,RIGHT HAND
31.248,126,2,RIGHT HAND,1.0,False,
31.496,127,2,RIGHT HAND,1.0,False,
31.744,128,2,RIGHT HAND,1.0,False,
31.992,129,2,RIGHT HAND,1.0,False,
32.24,130,2,RIGHT HAND,1.0,False,
32.488,131,2,RIGHT HAND,1.0,False,
32.736,132,2,RIGHT HAND,1.0,False,
32.984,133,2,RIGHT HAND,1.0,True,RIGHT HAND
33.232,134,2,RIGHT HAND,1.0,False,
33.48,135,2,RIGHT HAND,1.0,False,
33.728,136,2,RIGHT HAND,1.0,False,
33.976,137,2,RIGHT HAND,1.0,False,
34.224,138,2,RIGHT HAND,1.0,False,
34.472,139,2,RIGHT HAND,1.0,False,
34.72,140,2,RIGHT HAND,1.0,False,
34.968,141,2,RIGHT HAND,1.0,True,RIGHT HAND
35.216,142,2,RIGHT HAND,1.0,False,
35.464,143,2,RIGHT HAND,1.0,False,
35.712,144,2,RIGHT HAND,1.0,False,
35.96,145,2,RIGHT HAND,1.0,False,
36.208,146,2,RIGHT HAND,1.0,False,
36.456,147,2,RIGHT HAND,1.0,False,
36.704,148,2,RIGHT HAND,1.0,False,
36.952,149,2,RIGHT HAND,1.0,True,RIGHT HAND
37.2,150,2,RIGHT HAND,1.0,False,
37.448,151,2,RIGHT HAND,1.0,False,
37.696,152,2,RIGHT HAND,1.0,False,
37.944,153,2,RIGHT HAND,1.0,False,
38.192,154,2,RIGHT HAND,1.0,False,
38.44,155,2,RIGHT HAND,1.0,False,
38.688,156,2,RIGHT HAND,1.0,False,
38.936,157,2,RIGHT HAND,1.0,True,RIGHT HAND
39.184,158,2,RIGHT HAND,1.0,False,
39.432,159,2,RIGHT HAND,1.0,False,
39.68,160,2,RIGHT HAND,1.0,False,
39.928,161,2,RIGHT HAND,1.0,False,
40.176,162,2,RIGHT HAND,1.0,False,
40.424,163,2,RIGHT HAND,1.0,False,
40.672,164,2,RIGHT HAND,1.0,False,
40.92,165,2,RIGHT HAND,1.0,True,RIGHT HAND
41.168,166,2,RIGHT HAND,1.0,False,
41.416,167,2,RIGHT HAND,1.0,False,
41.664,168,2,RIGHT HAND,1.0,False,
41.912,169,2,RIGHT HAND,1.0,False,
42.16,170,2,RIGHT HAND,1.0,False,
42.408,171,2,RIGHT HAND,1.0,False,
42.656,172,2,RIGHT HAND,1.0,False,
42.904,173,2,RIGHT HAND,1.0,True,RIGHT HAND
43.152,174,2,RIGHT HAND,1.0,False,
43.4,175,2,RIGHT HAND,1.0,False,
43.648,176,2,RIGHT HAND,1.0,False,
43.896,177,2,RIGHT HAND,1.0,False,
44.144,178,3,FEET,1.0,False,
44.392,179,3,FEET,1.0,False,
44.64,180,3,FEET,1.0,False,
44.888,181,2,RIGHT HAND,1.0,False,
45.136,182,3,FEET,1.0,False,
45.384,183,3,FEET,1.0,False,
45.632,184,3,FEET,1.0,False,
45.88,185,3,FEET,1.0,False,
46.128,186,3,FEET,1.0,True,FEET
46.376,187,3,FEET,1.0,False,
46.624,188,3,FEET,1.0,False,
46.872,189,3,FEET,1.0,False,
47.12,190,2,RIGHT HAND,1.0,False,
47.368,191,2,RIGHT HAND,1.0,False,
47.616,192,2,RIGHT HAND,1.0,False,
47.864,193,2,RIGHT HAND,1.0,False,
48.112,194,2,RIGHT HAND,1.0,True,RIGHT HAND
48.36,195,2,RIGHT HAND,1.0,False,
48.608,196,2,RIGHT HAND,1.0,False,
48.856,197,2,RIGHT HAND,1.0,False,
49.104,198,2,RIGHT HAND,1.0,False,
49.352,199,2,RIGHT HAND,1.0,False,
49.6,200,2,RIGHT HAND,1.0,False,
49.848,201,2,RIGHT HAND,1.0,False,
50.096,202,2,RIGHT HAND,1.0,True,RIGHT HAND
50.344,203,2,RIGHT HAND,1.0,False,
50.592,204,2,RIGHT HAND,1.0,False,
50.84,205,2,RIGHT HAND,1.0,False,
51.088,206,3,FEET,1.0,False,
51.336,207,3,FEET,1.0,False,
51.584,208,2,RIGHT HAND,1.0,False,
51.832,209,2,RIGHT HAND,1.0,False,
52.08,210,2,RIGHT HAND,1.0,False,
52.328,211,3,FEET,1.0,False,
52.576,212,3,FEET,1.0,False,
52.824,213,3,FEET,1.0,False,
53.072,214,2,RIGHT HAND,1.0,False,
53.32,215,2,RIGHT HAND,1.0,False,
53.568,216,2,RIGHT HAND,1.0,False,
53.816,217,2,RIGHT HAND,1.0,False,
54.064,218,2,RIGHT HAND,1.0,True,RIGHT HAND
54.312,219,2,RIGHT HAND,1.0,False,
54.56,220,2,RIGHT HAND,1.0,False,
54.808,221,2,RIGHT HAND,1.0,False,
55.056,222,2,RIGHT HAND,1.0,False,
55.304,223,2,RIGHT HAND,1.0,False,
55.552,224,2,RIGHT HAND,1.0,False,
55.8,225,2,RIGHT HAND,1.0,False,
56.048,226,2,RIGHT HAND,1.0,True,RIGHT HAND
56.296,227,2,RIGHT HAND,1.0,False,
56.544,228,2,RIGHT HAND,1.0,False,
56.792,229,2,RIGHT HAND,1.0,False,
57.04,230,2,RIGHT HAND,1.0,False,
57.288,231,2,RIGHT HAND,1.0,False,
57.536,232,2,RIGHT HAND,1.0,False,
57.784,233,2,RIGHT HAND,1.0,False,
58.032,234,2,RIGHT HAND,1.0,True,RIGHT HAND
58.28,235,2,RIGHT HAND,1.0,False,
58.528,236,2,RIGHT HAND,1.0,False,
58.776,237,2,RIGHT HAND,1.0,False,
59.024,238,1,LEFT HAND,1.0,False,
59.272,239,1,LEFT HAND,1.0,False,
59.52,240,1,LEFT HAND,1.0,False,
59.768,241,1,LEFT HAND,1.0,False,
60.016,242,3,FEET,1.0,False,
60.264,243,3,FEET,1.0,False,
60.512,244,3,FEET,1.0,False,
60.76,245,3,FEET,1.0,False,
61.008,246,2,RIGHT HAND,1.0,False,
61.256,247,2,RIGHT HAND,1.0,False,
61.504,248,2,RIGHT HAND,1.0,False,
61.752,249,2,RIGHT HAND,1.0,False,
